cluster_id,label
0,Denim & Casual Styling (Pinterest Cluster)
1,Commercial Fashion Promotions
2,Luxury Lifestyle & Occasion Wear
3,High-Street OOTD & Blogger Style
4,Resale & Preloved Luxury Accessories
5,Menswear Tailoring & Formal Style
6,Smart-Casual Streetwear
7,Designer Accessories & Personal Shopping
